id	platform_name	slug	operator_name	operator_country	region_group	platform_model	merchant_of_record	mor_scope	japanese_ui	japanese_listing_allowed	listing_languages	seller_regions	japan_resident_signup	overseas_japanese_signup	individual_seller	business_required	identity_verification	tax_handling	buyer_invoice_receipt	product_pdf_ebook	product_templates	product_images_design	product_audio	product_video	product_course	product_software	product_saas	product_game_assets	product_membership	product_commission_service	one_time_sale	subscription_sale	pay_what_you_want	license_key_support	automatic_file_delivery	file_limit_note	marketplace_discovery	custom_storefront	custom_domain	embed_checkout	affiliate_program_for_sellers	coupon_discount	buyer_card_payment	buyer_paypal_payment	buyer_other_payments	seller_bank_payout	seller_paypal_payout	seller_payoneer_payout	payout_currencies	minimum_payout	payout_schedule	fee_summary	monthly_cost	recommended_products	recommended_seller_stage	main_advantage	main_caveat	official_url	source_products_url	source_pricing_url	source_payout_url	source_tax_mor_url	confidence	change_risk	last_verified_date	notes
1	BOOTH	booth	pixiv株式会社	日本	国内	マーケットプレイス	No	販売者が法的販売者・税務主体	Yes	Yes	日本語中心・英語併記可	日本中心・海外販売者は受取手段を確認	Yes	Conditional	Yes	No	pixivアカウント・振込先情報。状況により確認	販売者責任。BOOTHはプラットフォーム手数料を処理	注文履歴・事業者設定時のインボイス関連機能	true	true	true	true	true	false	true	false	true	false	false	Yes	No	Yes	No	Yes	商品・プラン別。公式確認	Strong	Limited	No	No	No	Yes	Yes	Yes	pixivcoban、楽天ペイ、銀行・コンビニ等	Yes	Yes	No	JPY中心	公式確認	公式確認	サービス利用料は注文額に対する料率＋固定額。最新公式確認	基本無料	同人作品、イラスト、3Dモデル、音声、ゲーム、素材、PDF	初心者〜小規模	日本の創作物購入者に認知され、商品ページと自動配布を任せられる	一般ビジネス教材より創作系向き。海外口座・国際受取は制約確認	https://booth.pm/	https://booth.pm/guide	https://booth.pm/guide	https://booth.pm/announcements/288	https://booth.pm/terms	Medium	High	2026-08-14	
2	BASE	base	BASE株式会社	日本	国内	ストア作成	No	販売者が法的販売者・税務主体	Yes	Yes	日本語中心	日本中心	Yes	Conditional	Yes	No	ショップ・振込申請情報、本人確認を求める場合あり	販売者責任	プラットフォームの購入明細・領収メール	true	true	true	true	true	false	false	false	false	false	false	Yes	No	No	No	Yes	1商品1ファイル、1KB以上1GB未満。スマートフォンDL非推奨	Medium	Yes	Paid	No	No	Yes	Yes	No	デジタル商品はカード・PAY IDあと払い	Yes	No	No	JPY	振込申請条件を公式確認	公式確認	プラン別の決済・サービス利用料	無料開始またはプラン制	PDF、画像、音楽、動画、テンプレート	初心者〜小規模	国内購入者に馴染みのあるショップ形式	デジタル商品の決済・ファイル・端末制限が比較的強い	https://thebase.com/	https://apps.thebase.com/detail/20	https://thebase.com/price	https://help.thebase.in/hc/ja/sections/115000041262	https://help.thebase.in/hc/ja	Medium	High	2026-08-14	
3	STORES	stores	STORES株式会社	日本	国内	ストア作成	No	販売者が法的販売者・税務主体	Yes	Yes	日本語中心	日本中心	Yes	Conditional	Yes	No	事業者・口座情報、必要時本人確認	販売者責任	プラットフォームの購入明細・領収メール	true	true	true	true	true	true	false	false	false	true	false	Yes	Yes	No	No	Yes	商品・プラン別。公式確認	Weak	Yes	Paid	No	No	Yes	Yes	Conditional	カード、コンビニ、銀行等。商品種別で差異	Yes	No	No	JPY	公式確認	公式確認	無料・有料プランで決済手数料が異なる	無料開始またはプラン制	ダウンロード商品、動画、教材、オンライン講座、物販併売	初心者〜小規模	国内向けネットショップと予約・決済をまとめやすい	デジタル配布・継続課金の細部はプランと機能確認	https://stores.jp/	https://faq.stores.jp/hc/ja	https://stores.jp/ec/pricing	https://faq.stores.jp/hc/ja/categories/360001827151	https://faq.stores.jp/hc/ja	Medium	High	2026-08-14	
4	note	note	note株式会社	日本	国内	コンテンツ販売・会員制	No	販売者が法的販売者・税務主体	Yes	Yes	日本語中心	日本中心・海外居住者は受取可否確認	Yes	Conditional	Yes	No	振込先・本人情報。高額販売等で確認	販売者責任・プラットフォームが決済手数料控除	プラットフォームの購入明細・領収メール	true	true	false	true	true	true	false	false	false	true	false	Yes	Yes	No	No	Conditional	記事添付・コンテンツ形式に依存	Strong	Limited	No	No	No	Conditional	Yes	Conditional	カード、キャリア等の対応方式	Yes	No	No	JPY	公式確認	公式確認	決済手段別の事務手数料＋プラットフォーム利用料＋振込手数料	無料開始またはプラン制	有料記事、ノウハウ、読み物、音声、メンバーシップ	初心者〜小規模	購入者が内容を試し読みでき、日本語コンテンツの発見性がある	ファイルショップより記事販売向き。手数料が複層	https://note.com/	https://www.help-note.com/hc/ja	https://www.help-note.com/hc/ja/articles/360011358873	https://www.help-note.com/hc/ja/categories/360000102761	https://note.com/terms	Medium	High	2026-08-14	
5	codoc	codoc	株式会社codoc	日本	国内	コンテンツ販売・埋込課金	No	販売者が法的販売者・税務主体	Yes	Yes	日本語中心	日本中心	Yes	Conditional	Yes	No	販売・振込情報の登録	販売者責任	プラットフォームの購入明細・領収メール	true	true	false	false	false	true	false	false	false	true	false	Yes	Yes	No	No	Conditional	商品・プラン別。公式確認	Weak	Limited	No	Yes	No	Yes	Yes	Conditional	カード等	Yes	No	No	JPY	公式確認	公式確認	販売手数料・振込条件は公式料金確認	無料開始またはプラン制	有料記事、ニュースレター、ブログ内課金、継続購読	初心者〜小規模	既存サイトへ課金部分を組み込みやすい	巨大マーケットの自然流入より自前集客向き	https://codoc.jp/	https://codoc.jp/	https://codoc.jp/pricing	https://codoc.jp/support	https://codoc.jp/terms	Medium	High	2026-08-14	
6	Brain	brain	株式会社ブレイン	日本	国内	知識販売マーケットプレイス	No	販売者が法的販売者・税務主体	Yes	Yes	日本語	日本中心	Yes	Conditional	Yes	No	出品・振込に本人・口座情報	販売者責任	プラットフォームの購入明細・領収メール	true	true	false	false	true	true	false	false	false	false	false	Yes	No	No	No	Yes	商品・プラン別。公式確認	Strong	No	No	No	Yes	Yes	Yes	Conditional	カード等	Yes	No	No	JPY	公式確認	公式確認	販売・紹介報酬に手数料。最新規約確認	無料開始またはプラン制	AI活用、マーケティング、ビジネス教材、動画講座	初心者〜小規模	販売者が紹介報酬を設定でき拡散されやすい	煽り型商材への警戒があり、ブランド設計と品質説明が重要	https://brain-market.com/	https://brain-market.com/	https://brain-market.com/terms	https://brain-market.com/terms	https://brain-market.com/terms	Low	High	2026-08-14	
7	Tips	tips	株式会社オリノス	日本	国内	知識販売マーケットプレイス	No	販売者が法的販売者・税務主体	Yes	Yes	日本語	日本中心	Yes	Conditional	Yes	No	出品・受取情報の確認	販売者責任	プラットフォームの購入明細・領収メール	true	true	false	false	true	true	false	false	false	false	false	Yes	No	No	No	Yes	商品・プラン別。公式確認	Strong	No	No	No	Yes	Yes	Yes	Conditional	カード等	Yes	No	No	JPY	公式確認	公式確認	販売・アフィリエイト手数料は公式確認	無料開始またはプラン制	ノウハウ、AI教材、投資・副業系を含む知識商品	初心者〜小規模	記事型商品と紹介販売を組み合わせられる	カテゴリによって購入者の警戒が強く、根拠・返金条件の明示が必要	https://tips.jp/	https://tips.jp/	https://tips.jp/terms	https://tips.jp/terms	https://tips.jp/terms	Low	High	2026-08-14	
8	DLsite	dlsite	株式会社エイシス	日本	国内	デジタル作品マーケットプレイス	No	販売者が法的販売者・税務主体	Yes	Yes	日本語中心・多言語展開あり	日本・海外サークルは登録条件確認	Yes	Conditional	Yes	No	サークル・本人・振込情報の審査	契約・販売区分に基づきプラットフォーム精算	プラットフォームの購入明細・領収メール	true	false	true	true	true	false	true	false	true	false	false	Yes	No	No	No	Yes	商品・プラン別。公式確認	Strong	No	No	No	No	Yes	Yes	No	カード、ポイント、コンビニ等	Yes	No	No	JPY中心	公式確認	公式確認	販売価格帯・契約に応じた卸価格方式。公式確認	無料開始またはプラン制	同人ゲーム、漫画、音声作品、CG、電子書籍	初心者〜小規模	対象ジャンルの購入意欲が高い大規模市場	一般業務テンプレートやSaaSには不向き。審査・表現規制あり	https://www.dlsite.com/	https://www.dlsite.com/home/circle/	https://www.dlsite.com/home/circle/regulations	https://www.dlsite.com/home/circle/regulations	https://www.dlsite.com/home/circle/regulations	Medium	High	2026-08-14	
9	pixivFANBOX	pixiv-fanbox	pixiv株式会社	日本	国内	月額支援・会員制	No	販売者が法的販売者・税務主体	Yes	Yes	日本語・多言語投稿可	世界各国・受取対応地域確認	Yes	Conditional	Yes	No	pixivアカウント・振込先情報	クリエイター責任・プラットフォーム精算	プラットフォームの購入明細・領収メール	false	false	true	true	true	false	false	false	false	true	false	No	Yes	No	No	Conditional	商品・プラン別。公式確認	Medium	No	No	No	No	Yes	Yes	Yes	カード等	Yes	Yes	No	JPY中心	公式確認	公式確認	支援金にサービス手数料。カテゴリ差あり	無料開始またはプラン制	継続制作、限定イラスト、漫画、音声、制作過程	初心者〜小規模	pixivのファン関係から月額支援へ移行しやすい	単品ダウンロード販売より継続投稿とファン形成が前提	https://fanbox.cc/	https://fanbox.pixiv.help/hc/ja	https://fanbox.pixiv.help/hc/ja/articles/4508335732633	https://fanbox.pixiv.help/hc/ja/categories/360000091546	https://fanbox.cc/terms	Medium	High	2026-08-14	
10	Fantia	fantia	株式会社虎の穴	日本	国内	月額支援・コンテンツ販売	No	販売者が法的販売者・税務主体	Yes	Yes	日本語中心	日本中心・海外は受取条件確認	Yes	Conditional	Yes	No	クリエイター登録・本人・振込情報	クリエイター責任・プラットフォーム精算	プラットフォームの購入明細・領収メール	true	false	true	true	true	false	false	false	false	true	false	Yes	Yes	No	No	Yes	商品・プラン別。公式確認	Strong	No	No	No	No	Yes	Yes	Conditional	カード、コンビニ等	Yes	No	No	JPY	公式確認	公式確認	ファンクラブ・商品販売ごとの手数料	無料開始またはプラン制	限定画像、漫画、音声、動画、月額ファンクラブ	初心者〜小規模	国内サブカル・ファン支援市場で認知がある	ブランドセーフ一般商品と成人カテゴリで購入者層が分かれる	https://fantia.jp/	https://help.fantia.jp/	https://help.fantia.jp/	https://help.fantia.jp/	https://fantia.jp/help/terms	Medium	High	2026-08-14	
